Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
¡Shin Chan Flipa en colores!,DS,2007,Platform,505 Games,0,0,0.14,0
.hack: Sekai no Mukou ni + Versus,PS3,2012,Action,Namco Bandai Games,0,0,0.03,0
.hack//G.U. Vol.1//Rebirth,PS2,2006,Role-Playing,Namco Bandai Games,0,0,0.17,0
.hack//G.U. Vol.2//Reminisce,PS2,2006,Role-Playing,Namco Bandai Games,0.11,0.09,0,0.03
.hack//G.U. Vol.2//Reminisce (jp sales),PS2,2006,Role-Playing,Namco Bandai Games,0,0,0.16,0
.hack//G.U. Vol.3//Redemption,PS2,2007,Role-Playing,Namco Bandai Games,0,0,0.17,0
.hack//Infection Part 1,PS2,2002,Role-Playing,Atari,0.49,0.38,0.26,0.13
.hack//Link,PSP,2010,Role-Playing,Namco Bandai Games,0,0,0.14,0
.hack//Mutation Part 2,PS2,2002,Role-Playing,Atari,0.23,0.18,0.2,0.06
.hack//Outbreak Part 3,PS2,2002,Role-Playing,Atari,0.14,0.11,0.17,0.04
.hack//Quarantine Part 4: The Final Chapter,PS2,2003,Role-Playing,Atari,0.09,0.07,0,0.02
'98 Koshien,PS,1998,Sports,Magical Company,0.15,0.1,0.12,0.03
[Prototype 2],PC,2012,Action,Activision,0.07,0.02,0,0.01
[Prototype 2],PS3,2012,Action,Activision,0.36,0.28,0,0.11
[Prototype 2],X360,2012,Action,Activision,0.48,0.25,0,0.07
[Prototype],PS3,2009,Action,Activision,0.65,0.41,0,0.19
[Prototype],X360,2009,Action,Activision,0.84,0.35,0,0.12
007 Racing,PS,2000,Racing,Electronic Arts,0.3,0.2,0,0.03
007: Quantum of Solace,DS,2008,Action,Activision,0.11,0.01,0,0.01
007: Quantum of Solace,PC,2008,Action,Activision,0.01,0.01,0,0
007: Quantum of Solace,PS2,2008,Action,Activision,0.17,0,0,0.26
007: Quantum of Solace,PS3,2008,Action,Activision,0.43,0.52,0.02,0.2
007: Quantum of Solace,Wii,2008,Action,Activision,0.3,0.29,0.01,0.07
007: Quantum of Solace,X360,2008,Action,Activision,0.82,0.52,0.01,0.14
007: The World is not Enough,N64,2000,Action,Electronic Arts,1.13,0.38,0.02,0.03
007: The World is not Enough,PS,2000,Action,Electronic Arts,0.51,0.35,0,0.06
007: Tomorrow Never Dies,PS,1999,Shooter,Electronic Arts,1.72,1.33,0,0.16
1 vs. 100,DS,2008,Misc,DSI Games,0.08,0,0,0.01
1/2 Summer +,PSP,2013,Adventure,Kaga Create,0,0,0.01,0
10 Minute Solution,Wii,2010,Sports,Activision,0.06,0.01,0,0.01
100 All-Time Favorites,DS,2009,Puzzle,Ubisoft,0.35,0.12,0,0.04
100 Classic Books,DS,2008,Misc,Nintendo,0.13,0.52,0,0.02
100 Classic Games,DS,2011,Misc,Rondomedia,0,0.03,0,0
1000 Cooking Recipes from ELLE à table,DS,2010,Misc,Nintendo,0,0.02,0,0
1001 Touch Games,DS,2011,Action,Avanquest,0.12,0.17,0,0.04
101-in-1 Explosive Megamix,DS,2008,Puzzle,Nordcurrent,0.05,0.13,0,0.02
101-in-1 Party Megamix Wii,Wii,2009,Misc,Nordcurrent,0.19,0.01,0,0.02
101-in-1 Sports Megamix,DS,2010,Sports,Nordcurrent,0.08,0,0,0.01
101-in-1 Sports Party Megamix,Wii,2010,Sports,Nordcurrent,0.02,0,0,0
1080°: TenEighty Snowboarding,N64,1998,Sports,Nintendo,1.25,0.61,0.13,0.05
11eyes: CrossOver,PSP,2010,Adventure,5pb,0,0,0.02,0
11eyes: CrossOver,X360,2009,Adventure,5pb,0,0,0.02,0
12-Sai. Honto no Kimochi,3DS,2014,Adventure,Happinet,0,0,0.07,0
12-Sai. Koisuru Diary,3DS,2016,Adventure,Happinet,0,0,0.04,0
12Riven: The Psi-Climinal of Integral,PS2,2008,Adventure,CyberFront,0,0,0.04,0
15 Days,PC,2009,Adventure,DTP Entertainment,0,0.01,0,0
1701 A.D.,PC,2006,Simulation,Deep Silver,0,0.25,0,0.05
18 Wheeler: American Pro Trucker,GC,2002,Racing,Acclaim Entertainment,0.09,0.02,0,0
18 Wheeler: American Pro Trucker,PS2,2001,Racing,Acclaim Entertainment,0.2,0.15,0,0.05
18 Wheels of Steel: Extreme Trucker,PC,2009,Racing,Rondomedia,0,0.02,0,0
18 Wheels of Steel: Extreme Trucker 2,PC,2011,Racing,Rondomedia,0.08,0.02,0,0.01
187: Ride or Die,PS2,2005,Racing,Ubisoft,0.07,0.06,0,0.02
